R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	13A1	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
5.1	24.2453624219	92791.1213522	93294.512753	94689.4737486	104460.31967	104566.488328	104663.092281	105090.88784	105240.72756	105999.260413	106017.323175	106286.704141	108790.413656	92796.7223447	93302.8462048	94702.6532001	103139.547684	104418.369289	104537.116038	104699.661144	105041.06271	105260.425408	105978.267664	106096.208941	106472.842769	92796.7552659	93302.8023098	94702.6641739	103139.549879	104418.380263	104537.124817	104699.641391	105041.05832	105260.427602	105978.276443	106096.200162	106472.842769	92791.1213522	92798.6559162	94099.6488489	103140.432167	104467.110215	104571.237759	104636.349297	105037.985675	105246.493158	106022.300859	106084.513138	106429.171707
5.0	27.3311757224	92801.3378962	93305.4382001	94701.6787328	104464.60601	104576.118875	104679.737237	105105.816505	105272.882788	106011.197638	106024.831402	106324.196992	108812.367704	92807.992367	93314.2435223	94714.1800077	103152.692019	104421.411208	104546.641237	104726.42388	105053.546427	105294.764408	105986.614284	106103.614015	106513.702361	92808.0252882	93314.1974326	94714.1953709	103152.692019	104421.419987	104546.650016	104726.401933	105053.544232	105294.762213	105986.623063	106103.605236	106513.704556	92801.3378962	92810.2990454	94110.5852698	103153.670876	104471.642366	104580.738815	104662.098061	105052.945066	105278.83055	106029.793723	106093.772772	106467.496367
4.9	30.7769274022	92812.7176558	93317.6475738	94715.3783392	104468.747496	104585.867938	104696.654341	105122.270518	105307.996534	106024.144446	106033.221917	106365.001715	108835.62543	92820.6472742	93327.0103615	94727.023663	103166.516726	104424.439958	104555.931598	104754.551749	105068.470701	105331.868789	105996.075836	106110.957636	106558.714413	92820.6823901	93326.9642718	94727.0368315	103166.518921	104424.450931	104555.938182	104754.531996	105068.470701	105331.868789	105996.08242	106110.948857	106558.714413	92812.7176558	92823.4060702	94122.8407331	103167.594347	104476.003327	104590.380336	104688.821292	105070.568879	105314.139629	106038.153512	106102.731727	106510.149067
4.81	34.2117053917	92824.0666889	93329.8459737	94729.1284247	104472.313959	104594.642533	104711.942944	105138.447992	105342.146786	106036.731316	106041.669495	106404.682728	108857.64093	92833.3526605	93339.8101219	94739.8168392	103179.535961	104427.113159	104564.032407	104780.594608	105084.670124	105367.555364	106005.745888	106117.54407	106602.918798	92833.3877764	93339.7640323	94739.8300077	103179.535961	104427.124132	104564.038991	104780.57705	105084.667929	105367.555364	106005.752472	106117.53968	106602.918798	92824.0666889	92836.600885	94135.1291177	103180.701372	104479.754149	104599.071531	104713.378308	105089.298844	105348.485213	106046.561585	106110.573555	106552.391349
4.72	37.9888637513	92836.5723533	93343.3085475	94744.3533798	104475.687284	104603.309586	104727.115225	105155.959873	105378.656391	106050.211448	106051.203473	106447.267391	108880.630898	92847.4034263	93353.9289249	94753.8895525	103193.011704	104429.681012	104571.83034	104806.683558	105104.236287	105405.254521	106016.75693	106124.128309	106650.740125	92847.4209843	93353.9069774	94753.8961368	103193.011704	104429.689791	104571.83473	104806.668194	105104.231898	105405.254521	106016.76132	106124.126114	106650.740125	92836.5723533	92851.2047269	94148.7036235	103194.273683	104483.294274	104607.670547	104737.955077	105111.327512	105385.207709	106055.974852	106118.217857	106598.40201
4.64	41.678232289	92848.7510005	93356.376067	94759.0581801	104478.483391	104610.835371	104740.358324	105172.646529	105412.969054	106059.653247	106064.115166	106487.624385	108901.834342	92861.1864331	93367.7733845	94767.5781852	103205.297894	104431.838447	104578.399216	104829.289444	105125.119298	105440.240972	106027.910631	106129.994865	106696.362317	92861.203991	93367.7514371	94767.5847694	103205.297894	104431.847226	104578.403605	104829.271886	105125.117103	105440.240972	106027.91502	106129.990476	106696.362317	92848.7510005	92865.5759256	94162.0081756	103206.647662	104486.23304	104615.115127	104759.351659	105134.179211	105419.722289	106065.370561	106124.848185	106642.531774
4.55	46.1862411972	92863.7674547	93372.5689052	94777.450154	104481.356314	104618.999828	104754.806339	105192.640668	105453.431397	106071.719962	106079.662749	106535.889051	108926.446227	92878.2418066	93384.8924057	94784.4096946	103219.410112	104434.061726	104585.446546	104853.341669	105153.363488	105480.938153	106042.426683	106136.675673	106751.305595	92878.2593645	93384.8704582	94784.4162788	103219.412307	104434.070504	104585.453131	104853.326306	105153.361294	105480.938153	106042.433267	106136.671284	106751.305595	92863.7674547	92883.3994604	94178.4731623	103220.86084	104489.248621	104623.231299	104782.493064	105164.133108	105460.448001	106077.358265	106132.20278	106695.866304
4.48	49.9963207774	92876.4925938	93386.2904591	94793.0548002	104483.342559	104625.055133	104765.593517	105209.026644	105486.016796	106082.399597	106092.539325	106575.541533	108946.060674	92892.7359111	93399.4304052	94798.6294558	103230.506749	104435.595853	104590.571279	104870.528727	105179.235158	105513.170197	106055.412997	106141.938675	106796.627107	92892.7534691	93399.4106525	94798.6382348	103230.506749	104435.606827	104590.577863	104870.511169	105179.232963	105513.170197	106055.419581	106141.934285	106796.627107	92876.4925938	92898.567352	94192.4668647	103232.032098	104491.342409	104629.253682	104799.440895	105190.865118	105493.263848	106087.95889	106137.847668	106740.059715
4.4	54.6952725906	92892.2508722	93403.2777954	94812.3817361	104485.300273	104631.582308	104777.322242	105228.548912	105524.082475	106096.325262	106108.141777	106623.110464	108968.870673	92910.7218571	93417.4646355	94816.1742578	103243.214331	104437.086086	104595.990107	104888.178877	105213.30201	105550.173619	106072.485928	106148.112496	106851.232395	92910.7372203	93417.4426881	94816.180842	103243.214331	104437.094865	104595.996692	104888.163514	105213.299815	105550.173619	106072.490318	106148.108107	106851.232395	92892.2508722	92917.4158333	94209.8404764	103244.829664	104493.416444	104635.741353	104817.374167	105225.353362	105531.619234	106101.759454	106144.256327	106793.468867
4.33	59.1308548634	92907.1861208	93419.363091	94830.6815308	104486.691742	104636.876036	104786.954983	105246.22101	105557.714768	106110.338718	106122.59857	106666.680568	108989.062339	92927.7838148	93434.5748777	94832.7402029	103254.273657	104438.106643	104600.300589	104901.709488	105247.112077	105582.212526	106089.705908	106153.768357	106901.4438	92927.8013728	93434.5529302	94832.7467871	103254.273657	104438.117617	104600.307173	104901.694125	105247.107687	105582.212526	106089.712492	106153.763968	106901.4438	92907.1861208	92935.3205736	94226.3405791	103255.968001	104494.904482	104641.010938	104831.61807	105259.077833	105565.534649	106115.636835	106149.861709	106842.701416
4.26	63.8890648238	92923.2626374	93436.6598867	94850.3508471	104487.727662	104641.715452	104795.907353	105264.307914	105591.178065	106126.413039	106137.816941	106712.004273	109009.330821	92946.1604255	93453.0019676	94850.4978952	103265.179352	104438.808962	104604.150174	104913.405291	105284.539085	105613.40426	106109.27646	106159.893894	106953.858732	92946.1779835	93452.9800201	94850.5044794	103265.179352	104438.819935	104604.152369	104913.389928	105284.534696	105613.406455	106109.28085	106159.893894	106953.858732	92923.2626374	92954.6233673	94244.1311926	103266.952707	104496.034777	104645.819627	104844.391494	105296.085646	105599.3096	106131.548746	106155.500012	106894.203332
4.19	68.9677077737	92940.5704068	93455.2537773	94871.4708908	104488.357554	104646.030323	104804.095952	105282.658188	105623.950016	106144.945477	106153.816642	106759.00696	109029.551018	92965.9307002	93472.8358899	94869.5219561	103275.83704	104439.138174	104607.475215	104923.305792	105325.335029	105643.208915	106130.95397	106167.219957	107008.402567	92965.9482582	93472.8139424	94869.530735	103275.83704	104439.149147	104607.479604	104923.288234	105325.332835	105643.208915	106130.960554	106167.217763	107008.400372	92940.5704068	92975.4120042	94263.2979121	103277.687211	104496.756848	104650.110357	104855.63079	105336.240724	105632.417348	106149.89463	106161.239274	106947.893411
4.12	74.4150681199	92959.1686869	93475.2040212	94894.1053094	104488.519965	104649.743834	104811.428599	105301.10503	105655.424873	106166.342059	106170.595477	106807.563527	109049.534184	92987.1670655	93494.1490712	94889.878228	103286.147958	104439.032826	104610.214258	104931.476832	105369.118023	105671.075609	106152.157414	106178.768712	107064.941426	92987.1824287	93494.1271238	94889.8848122	103286.147958	104439.041605	104610.218648	104931.461469	105369.115829	105671.077804	106152.163998	106178.764323	107064.941426	92959.1686869	92997.7589111	94283.9197483	103288.07714	104497.009244	104653.795336	104865.307426	105379.290673	105664.249948	106171.080516	106167.149726	107003.637772
4.06	79.3686104813	92976.2372288	93493.4643104	94914.757872	104488.243427	104652.397282	104816.981307	105316.821609	105680.910267	106184.448716	106188.412428	106850.321575	109066.328382	93006.6081282	93513.6691448	94908.4435869	103294.628457	104438.547787	104612.046871	104937.187562	105408.662962	105693.055993	106164.783789	106197.516235	107114.889462	93006.6256861	93513.6471974	94908.4501712	103294.628457	104438.556566	104612.051261	104937.170004	105408.660767	105693.055993	106164.790373	106197.511846	107114.889462	92976.2372288	93018.2249203	94302.8384614	103296.619092	104496.807327	104656.424642	104872.372314	105418.225472	105690.055775	106179.09134	106185.179566	107052.953722
4.0	84.6447806051	92994.3877808	93512.8439202	94936.6263242	104487.534524	104654.506433	104821.798775	105332.329686	105704.611332	106199.967767	106211.977419	106894.005805	109082.677047	93027.2343539	93534.3919394	94928.0799821	103302.700734	104437.647941	104613.350551	104941.74605	105449.669602	105713.012821	106173.093099	106223.81588	107166.064362	93027.2519119	93534.3699919	94928.0887611	103302.700734	104437.658915	104613.35494	104941.730687	105449.667407	105713.015016	106173.097488	106223.811491	107166.064362	92994.3877808	93039.9441297	94322.9445323	103304.757212	104496.173046	104658.511845	104878.300324	105458.718541	105714.079468	106184.852549	106208.369256	107103.542624
3.94	90.2567468798	93013.6796007	93533.3889403	94959.7391974	104486.347167	104656.014224	104825.826135	105347.48002	105726.190078	106216.002583	106238.281453	106938.471365	109098.411184	93049.0962218	93556.3657393	94948.8356978	103310.296751	104436.293782	104614.074817	104945.198386	105491.701188	105730.799045	106180.342346	106254.520381	107218.316882	93049.1137797	93556.3437919	94948.8444768	103310.296751	104436.304756	104614.079207	104945.180828	105491.696799	105730.80124	106180.34893	106254.515992	107218.316882	93013.6796007	93062.9648236	94344.2994137	103312.414681	104495.058115	104659.993299	104883.100234	105500.405552	105735.983036	106191.041734	106234.306768	107155.253041
3.88	96.195730388	93034.1807259	93555.1564341	94984.1381921	104484.641849	104656.86798	104829.010712	105362.129951	105745.391913	106232.515855	106267.361842	106983.553649	109113.379353	93072.244211	93579.6454134	94970.7590186	103317.339692	104434.441417	104614.169191	104947.570907	105534.224398	105746.357602	106187.751809	106288.470912	107271.469248	93072.261769	93579.6234659	94970.7656029	103317.339692	104434.45239	104614.173581	104947.555544	105534.222203	105746.359796	106187.756199	106288.466522	107271.467053	93034.1807259	93087.3374813	94366.9601693	103319.51688	104493.425223	104660.827303	104886.77424	105542.834388	105755.494331	106197.830084	106263.031607	107207.90281
3.82	102.52318395	93055.9482197	93578.2012703	95009.849645	104482.372481	104657.010639	104831.299832	105376.134627	105762.043453	106249.448322	106299.119821	107029.055129	109127.370861	93096.717827	93604.2704668	94993.8850604	103323.759325	104432.040364	104613.57661	104948.876781	105576.604949	105759.727996	106195.841644	106325.110006	107325.30418	93096.735385	93604.2485194	94993.8916446	103323.759325	104432.051338	104613.580999	104948.861418	105576.602754	105759.730191	106195.846033	106325.105617	107325.30418	93055.9482197	93113.0928291	94390.9750833	103325.993577	104491.221698	104660.948014	104889.320145	105585.471724	105772.437772	106205.421712	106294.455985	107261.281235
3.77	108.10661855	93075.1039654	93598.4170785	95032.3084839	104480.017518	104656.543158	104832.478411	105387.207122	105773.917031	106263.8283	106327.478137	107067.131783	109138.136092	93118.1604983	93625.8557967	95014.1118423	103328.583377	104429.593222	104612.520937	104949.153319	105611.264383	105769.312453	106203.398155	106357.377166	107370.513759	93118.1780563	93625.8338492	95014.1206213	103328.583377	104429.604196	104612.527521	104949.135761	105611.262188	105769.314648	106203.402545	106357.370582	107370.513759	93075.1039654	93135.6460421	94412.0622058	103330.865914	104488.923799	104660.46517	104890.57554	105620.71935	105784.541798	106212.554637	106322.557516	107306.146239
3.72	114.019265107	93095.229789	93619.589796	95055.7066742	104477.221411	104655.516017	104832.967839	105397.65631	105783.973359	106278.401416	106357.368387	107105.204047	109147.972945	93140.5886108	93648.4397362	95035.2450544	103332.887275	104426.71591	104610.923161	104948.690227	105644.745237	105777.656879	106211.924745	106390.945811	107415.881359	93140.603974	93648.4177887	95035.2538334	103332.887275	104426.724689	104610.929746	104948.674864	105644.743043	105777.656879	106211.931329	106390.941422	107415.881359	93095.229789	93159.2110331	94434.1611063	103335.213706	104486.175976	104659.42047	104891.036437	105655.266851	105794.804432	106220.613745	106352.204149	107351.195602
3.66	121.599918803	93120.7283515	93646.3086375	95085.0614059	104473.25331	104653.494655	104832.594732	105409.270907	105793.685111	106296.066928	106394.927081	107150.663827	109158.34751	93168.8371904	93676.8836482	95061.8234321	103337.292131	104422.670992	104608.243376	104947.138542	105682.336852	105786.411722	106223.706143	106432.553811	107470.24742	93168.8525536	93676.8617007	95061.8300164	103337.292131	104422.679771	104608.247766	104947.123179	105682.334657	105786.411722	106223.712727	106432.549422	107470.245225	93120.7283515	93188.8576661	94462.0563317	103339.671236	104482.267133	104657.379356	104890.522866	105695.090523	105804.751022	106231.743304	106389.499473	107405.223671
3.61	128.333400453	93143.1498797	93669.7836439	95110.8189485	104469.416894	104651.113356	104831.44688	105418.100371	105799.887464	106310.852934	106427.321536	107188.158873	109165.642847	93193.5236968	93701.7369553	95085.0306795	103340.342828	104418.788486	104605.344116	104945.016222	105710.581042	105793.241772	106235.167108	106468.009938	107515.316535	93193.5412548	93701.7150078	95085.0372637	103340.342828	104418.797265	104605.3507	104945.000859	105710.578847	105793.243967	106235.171498	106468.005548	107515.316535	93143.1498797	93214.7205566	94486.4860528	103342.763633	104478.483391	104654.989278	104889.195045	105726.490758	105811.131149	106242.567793	106421.692012	107450.042586
3.56	135.547531525	93166.7082865	93694.2726231	95137.3446523	104465.102022	104648.0868	104829.515503	105426.111195	105804.465705	106325.636745	106460.407337	107225.1184	109171.564273	93219.2878236	93727.6612986	95109.2409259	103342.787775	104414.440694	104601.812769	104942.121352	105734.622293	105800.550277	106248.29608	106503.861119	107559.935728	93219.3163553	93727.6459353	95109.2518997	103342.78997	104414.449473	104601.819354	104942.105989	105734.620098	105800.550277	106248.30047	106503.856729	107559.935728	93166.7082865	93241.6632621	94512.0350945	103345.248086	104474.21022	104651.947359	104887.039804	105755.694052	105815.867412	106254.979083	106454.589064	107494.446693
