 R=[100.0, 28.0, 11.0, 9.6, 8.79]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
  27   3   -529.52245743      0.42468255    93207.05      0.42468610    93207.83     11.5563
  28   3   -529.51610105      0.43103892    94602.11      0.43104247    94602.89     11.7293
  29   3   -529.47780921      0.46933077   103006.20      0.46933432   103006.98     12.7712
  30   3   -529.47160472      0.47553526   104367.93      0.47553881   104368.70     12.9401
  31   3   -529.47158473      0.47555525   104372.31      0.47555880   104373.09     12.9406
  32   3   -529.47118555      0.47595443   104459.92      0.47595798   104460.70     12.9515
  33   3   -529.46905545      0.47808452   104927.42      0.47808807   104928.20     13.0094
  34   3   -529.46890625      0.47823372   104960.17      0.47823728   104960.95     13.0135
  35   3   -529.46464673      0.48249325   105895.03      0.48249680   105895.81     13.1294
  36   3   -529.46440861      0.48273137   105947.29      0.48273492   105948.07     13.1359
  37   3   -529.46346242      0.48367756   106154.95      0.48368111   106155.73     13.1616
 
  38   4   -529.52476872      0.42237125    92699.77      0.42237480    92700.55     11.4934
  39   4   -529.52474486      0.42239511    92705.01      0.42239867    92705.79     11.4941
  40   4   -529.51881180      0.42832818    94007.17      0.42833173    94007.95     11.6555
  41   4   -529.47780922      0.46933076   103006.20      0.46933431   103006.97     12.7712
  42   4   -529.47160201      0.47553797   104368.52      0.47554152   104369.30     12.9401
  43   4   -529.47160001      0.47553997   104368.96      0.47554352   104369.74     12.9402
  44   4   -529.47117302      0.47596696   104462.67      0.47597051   104463.45     12.9518
  45   4   -529.46905091      0.47808906   104928.42      0.47809261   104929.20     13.0096
  46   4   -529.46890841      0.47823156   104959.70      0.47823512   104960.48     13.0134
  47   4   -529.46465228      0.48248770   105893.81      0.48249125   105894.59     13.1293
  48   4   -529.46440119      0.48273879   105948.92      0.48274234   105949.70     13.1361
  49   4   -529.46345876      0.48368121   106155.76      0.48368476   106156.53     13.1617

--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -527.04425398     -0.00000354       -0.78      0.00000000        0.00      0.0000
   2   1   -526.62169389      0.42255656    92740.44      0.42256009    92741.22     11.4984
   3   1   -526.61941324      0.42483720    93240.99      0.42484074    93241.76     11.5605
   4   1   -526.61308121      0.43116924    94630.71      0.43117277    94631.49     11.7328
   5   1   -526.56850328      0.47574716   104414.43      0.47575070   104415.21     12.9458
   6   1   -526.56810896      0.47614149   104500.98      0.47614503   104501.75     12.9566
   7   1   -526.56810009      0.47615036   104502.92      0.47615390   104503.70     12.9568
   8   1   -526.56581859      0.47843185   105003.65      0.47843539   105004.43     13.0189
   9   1   -526.56581122      0.47843922   105005.27      0.47844276   105006.05     13.0191
  10   1   -526.56169411      0.48255633   105908.87      0.48255987   105909.65     13.1311
  11   1   -526.56132359      0.48292685   105990.19      0.48293039   105990.97     13.1412
  12   1   -526.56131832      0.48293212   105991.35      0.48293566   105992.13     13.1413
  13   1   -526.54954230      0.49470814   108575.89      0.49471168   108576.66     13.4618
 
  14   2   -526.62167581      0.42257464    92744.41      0.42257817    92745.19     11.4989
  15   2   -526.61938394      0.42486650    93247.42      0.42487004    93248.19     11.5613
  16   2   -526.61303127      0.43121917    94641.67      0.43122271    94642.44     11.7342
  17   2   -526.57473136      0.46951908   103047.53      0.46952262   103048.30     12.7764
  18   2   -526.56849558      0.47575487   104416.12      0.47575841   104416.90     12.9460
  19   2   -526.56847586      0.47577458   104420.45      0.47577812   104421.23     12.9466
  20   2   -526.56807687      0.47617357   104508.02      0.47617711   104508.79     12.9574
  21   2   -526.56594779      0.47830265   104975.30      0.47830619   104976.07     13.0154
  22   2   -526.56579952      0.47845092   105007.84      0.47845446   105008.62     13.0194
  23   2   -526.56154121      0.48270924   105942.43      0.48271278   105943.21     13.1353
  24   2   -526.56130415      0.48294629   105994.46      0.48294983   105995.24     13.1417
  25   2   -526.56035962      0.48389082   106201.76      0.48389436   106202.54     13.1674
 
  26   3   -526.62167584      0.42257460    92744.40      0.42257814    92745.18     11.4989
  27   3   -526.61938389      0.42486655    93247.43      0.42487009    93248.21     11.5613
  28   3   -526.61303129      0.43121916    94641.66      0.43122269    94642.44     11.7342
  29   3   -526.57473136      0.46951908   103047.53      0.46952262   103048.30     12.7764
  30   3   -526.56849559      0.47575485   104416.12      0.47575839   104416.90     12.9460
  31   3   -526.56847587      0.47577457   104420.45      0.47577811   104421.22     12.9466
  32   3   -526.56807684      0.47617360   104508.03      0.47617714   104508.80     12.9574
  33   3   -526.56594779      0.47830265   104975.30      0.47830619   104976.07     13.0154
  34   3   -526.56579953      0.47845091   105007.84      0.47845445   105008.61     13.0194
  35   3   -526.56154122      0.48270923   105942.43      0.48271276   105943.21     13.1353
  36   3   -526.56130415      0.48294630   105994.46      0.48294984   105995.24     13.1417
  37   3   -526.56035962      0.48389082   106201.76      0.48389436   106202.54     13.1674
 
  38   4   -526.62169389      0.42255656    92740.44      0.42256009    92741.22     11.4984
  39   4   -526.62166970      0.42258074    92745.75      0.42258428    92746.53     11.4991
  40   4   -526.61574010      0.42851034    94047.15      0.42851388    94047.93     11.6605
