R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	13A1
2.41	1321.99446013	94702.87048	95066.8625696	96317.4268166	104652.094407	104791.735141	104924.080537	105949.132407	106132.275207	106771.097818	107282.407863	108048.677197	108996.697861
2.38	1458.95321348	94835.5692308	95167.928442	96406.1165146	104689.339252	104817.889932	105018.625818	106037.745289	106213.458872	106812.569744	107357.681077	108130.212022	109033.497172
2.36	1559.17630328	94932.1183153	95239.7493199	96471.6911445	104717.010613	104838.226451	105090.143821	106103.925669	106275.482403	106843.364229	107414.755455	108192.033636	109064.803034
2.33	1724.39022049	95090.4275606	95354.3348295	96581.3955383	104763.297813	104873.58162	105211.489149	106214.582583	106381.901261	106895.133905	107512.099037	108297.394627	109123.622234
2.3	1909.28223305	95266.7403099	95477.2801277	96707.0820747	104815.982698	104915.44421	105351.535911	106339.39561	106506.431167	106955.228253	107625.411594	108419.81977	109199.027133
2.28	2044.6059004	95395.3941433	95563.9023747	96801.2696122	104855.049182	104947.388743	105456.420642	106430.293223	106600.763557	107001.377184	107710.973778	108512.073736	109259.962069
2.25	2267.56578754	95606.8996495	95700.7733382	96960.7376836	104920.204615	105002.051094	105632.919944	106576.412847	106761.298275	107083.623107	107856.268178	108668.297972	109369.809122
2.22	2516.89994095	95843.1026358	95845.8921583	97145.5353221	104994.090749	105065.773358	105834.961705	106728.807251	106947.395204	107189.857606	108024.473535	108848.414217	109505.064752
2.2	2699.31408495	95947.699855	96015.271704	97284.8819594	105048.717985	105113.853665	105985.3962	106828.687961	107087.323449	107280.985668	108150.890922	108983.235287	109611.338757
2.18	2895.81411066	96052.6965179	96201.2720635	97438.6919748	105108.059535	105166.865568	106149.618092	106923.051078	107241.190528	107393.931702	108289.939073	109130.946103	109732.023467
2.15	3219.31093632	96217.3968646	96507.6345047	97699.5200146	105206.779224	105256.55607	106424.248891	107050.846765	107500.684162	107610.640951	108524.643048	109378.886592	109943.160256
2.13	3455.8606925	96332.3313387	96731.8278393	97895.5020802	105279.91695	105323.737254	106630.97863	107122.156267	107698.685394	107786.773731	108700.336879	109562.948991	110106.159674
2.11	3710.50613196	96451.7847956	96973.4737964	98110.8198607	105358.8927	105397.623388	106849.733383	107202.951463	107906.940481	107988.727702	108892.928061	109764.387196	110288.988625
2.09	3984.66945027	96576.2225214	97233.957261	98346.9087202	105444.891639	105478.554658	107090.984286	107276.629096	108139.045876	108214.551733	109103.88927	109983.335087	110493.220742
2.08	4129.51831659	96640.4803035	97371.7192915	98473.2053961	105490.623568	105521.867976	107219.387918	107313.805904	108263.005147	108336.597185	109216.729957	110099.922205	110603.939108
2.07	4279.74211659	96706.2019815	97514.7552974	98605.2545019	105538.282484	105567.189487	107343.147467	107361.471404	108392.510542	108464.814264	109334.745855	110221.508955	110720.820323
2.06	4435.65250424	96773.4709556	97663.2671953	98743.253565	105587.951787	105614.600397	107381.53358	107500.995816	108527.770561	108599.297343	109458.14766	110348.242385	110843.8578
2.05	4597.35043789	96842.3881841	97817.4656808	98887.4023073	105639.717074	105664.188495	107420.80637	107646.404342	108669.004681	108740.175914	109587.159237	110480.344165	110973.415869
2.04	4765.10367657	96913.041457	97977.5680339	99037.9092296	105693.668327	105716.039376	107461.121665	107797.916458	108816.434568	108887.597023	109722.00445	110618.022795	111109.727172
2.03	4939.1119422	96985.5207588	98143.7937292	99194.980638	105749.893338	105770.247415	107502.633096	107955.764807	108970.299453	109041.73186	109862.909357	110761.495556	111253.037521
2.02	5119.60129371	97059.9511901	98316.3863835	99358.8360073	105808.499648	105826.911375	107545.498686	108120.197395	109130.836365	109202.77576	110010.126355	110910.997284	111403.597117
2.01	5306.82412681	97136.4249302	98495.5808346	99529.7013962	105869.581633	105886.127825	107589.856704	108291.457838	109298.295508	109370.928442	110163.896865	111066.771598	111561.656162
2.0	5500.97138453	97214.7268939	98681.6272837	99707.7896953	105933.253418	105948.008697	107635.729096	108469.809506	109472.942445	109546.422551	110324.493036	111229.081865	111727.480218
1.99	5702.33935755	97295.6428005	98874.7847108	99893.3884161	105999.618156	106012.654949	107683.519697	108655.51577	109655.033961	109729.48634	110492.171653	111398.193652	111901.30632
1.98	5911.17385748	97378.9575648	99075.3230697	100086.723618	106068.79217	106080.189488	107733.246064	108848.853166	109844.850985	109920.374399	110667.215839	111574.396664	112083.40881
1.97	6127.74264339	97464.7984821	99283.514509	100288.060864	106140.90056	106150.724244	107785.055245	109050.113597	110042.678832	110119.356683	110849.913105	111757.984997	112274.055447
