R	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2
4.19	92965.9482582	93472.8139424	94869.530735	103275.83704	104439.149147	104607.479604	104923.288234	105325.332835	105643.208915	106130.960554	106167.217763	107008.400372
4.12	92987.1824287	93494.1271238	94889.8848122	103286.147958	104439.041605	104610.218648	104931.461469	105369.115829	105671.077804	106152.163998	106178.764323	107064.941426
4.06	93006.6256861	93513.6471974	94908.4501712	103294.628457	104438.556566	104612.051261	104937.170004	105408.660767	105693.055993	106164.790373	106197.511846	107114.889462
4.0	93027.2519119	93534.3699919	94928.0887611	103302.700734	104437.658915	104613.35494	104941.730687	105449.667407	105713.015016	106173.097488	106223.811491	107166.064362
3.94	93049.1137797	93556.3437919	94948.8444768	103310.296751	104436.304756	104614.079207	104945.180828	105491.696799	105730.80124	106180.34893	106254.515992	107218.316882
3.88	93072.261769	93579.6234659	94970.7656029	103317.339692	104434.45239	104614.173581	104947.555544	105534.222203	105746.359796	106187.756199	106288.466522	107271.467053
3.82	93096.735385	93604.2485194	94993.8916446	103323.759325	104432.051338	104613.580999	104948.861418	105576.602754	105759.730191	106195.846033	106325.105617	107325.30418
3.77	93118.1780563	93625.8338492	95014.1206213	103328.583377	104429.604196	104612.527521	104949.135761	105611.262188	105769.314648	106203.402545	106357.370582	107370.513759
3.72	93140.603974	93648.4177887	95035.2538334	103332.887275	104426.724689	104610.929746	104948.674864	105644.743043	105777.656879	106211.931329	106390.941422	107415.881359
3.66	93168.8525536	93676.8617007	95061.8300164	103337.292131	104422.679771	104608.247766	104947.123179	105682.334657	105786.411722	106223.712727	106432.549422	107470.245225
3.61	93193.5412548	93701.7150078	95085.0372637	103340.342828	104418.797265	104605.3507	104945.000859	105710.578847	105793.243967	106235.171498	106468.005548	107515.316535
3.56	93219.3163553	93727.6459353	95109.2518997	103342.78997	104414.449473	104601.819354	104942.105989	105734.620098	105800.550277	106248.30047	106503.856729	107559.935728
3.52	93240.7239107	93749.1742018	95129.3667495	103344.317514	104410.637198	104598.522845	104939.228676	105749.814327	105807.566881	106260.165268	106532.627658	107595.187743
3.47	93268.5115936	93777.0935695	95155.4864253	103345.634361	104405.464181	104593.806335	104934.924779	105762.732604	105818.380396	106276.511739	106568.454697	107638.430829
3.42	93297.4822448	93806.1607895	95182.7363953	103346.367407	104399.869773	104588.420428	104929.839551	105769.606549	105830.822413	106294.706186	106603.875708	107680.631411
3.38	93321.5542222	93830.2678828	95205.4015403	103346.538597	104395.126926	104583.635881	104925.215221	105771.904449	105840.738277	106310.413985	106631.729233	107713.475789
3.33	93352.8052148	93861.5057069	95234.8725937	103346.29937	104388.917989	104577.073589	104918.747304	105772.10856	105851.905146	106331.292607	106665.723658	107753.21606
3.29	93378.7844267	93887.405908	95259.4230257	103345.770436	104383.784477	104571.376028	104913.045353	105770.752207	105859.338752	106348.567455	106692.113288	107783.786682
3.25	93405.6854322	93914.1576706	95284.9062251	103345.019832	104378.582929	104565.316333	104906.895674	105768.410413	105865.330409	106366.118841	106717.668914	107813.178724
3.21	93433.5674891	93941.802695	95311.3924234	103344.115597	104373.392354	104558.931816	104900.337772	105765.304846	105869.910845	106383.657059	106742.300551	107841.300008
3.17	93462.4986349	93970.4024341	95338.9781896	103343.156493	104368.320295	104552.275151	104893.413347	105761.611088	105873.19638	106400.881428	106765.92919	107868.080303
3.13	93492.5578802	94000.007367	95367.7600926	103342.250063	104363.487463	104545.40779	104886.181658	105757.484965	105875.35601	106417.458346	106788.506545	107893.447181
3.09	93523.8549624	94030.7294256	95397.8873751	103341.569691	104359.080413	104538.435081	104878.717326	105753.104252	105876.615795	106433.199067	106810.015059	107917.394057
3.05	93556.5040084	94062.6673738	95429.507085	103341.284374	104355.281307	104531.447008	104871.11253	105748.633554	105877.212766	106447.813882	106830.470095	107939.90557
3.01	93590.6498713	94095.9638699	95462.8167496	103341.607002	104352.331568	104524.590621	104863.485787	105744.276982	105877.427851	106461.096487	106849.933105	107961.027809
2.98	93617.3467653	94121.9299134	95489.0549416	103342.427837	104350.858893	104519.628299	104857.83651	105741.226285	105877.528809	106470.077389	106863.94656	107976.004757
2.94	93654.5345466	94158.0400743	95525.9200952	103344.539183	104350.145601	104513.406194	104850.530199	105737.659822	105877.849242	106480.636313	106881.972011	107994.921276
2.91	93683.7575936	94186.391807	95555.1694792	103347.082894	104350.766714	104509.161554	104845.330845	105735.537502	105878.446213	106487.446611	106895.129515	108008.434329
2.87	93724.7071701	94226.1364677	95596.6128736	103352.119837	104353.527705	104504.276049	104838.961691	105733.746589	105880.06813	106495.02507	106912.43509	108025.753072
2.84	93757.0643148	94257.6113244	95629.7842691	103357.406981	104357.346563	104501.357037	104834.754363	105733.423962	105882.177282	106499.590142	106925.438962	108038.407979
2.8	93802.6689481	94302.1800375	95677.2259052	103366.956322	104365.28935	104498.743094	104830.156369	105734.773731	105886.637006	106504.264952	106943.201043	108055.182425
2.77	93838.917378	94337.8688071	95715.5659283	103376.369589	104373.793992	104497.959569	104827.665332	105737.4601	105891.568601	106506.7933	106957.157435	108067.98438
2.74	93877.1059636	94375.8203601	95756.6164631	103388.076365	104384.88185	104498.391934	104826.183878	105741.91324	105898.203319	106508.597381	106971.99392	108081.282348
2.71	93917.4146742	94416.385856	95800.7418374	103402.469512	104398.972122	104500.253079	104825.909535	105748.4887	105906.894515	106509.81766	106988.055074	108095.40554
2.67	93974.7787583	94475.2599255	95865.08302	103426.585384	104423.261379	104505.360254	104827.803601	105761.279682	105922.354307	106510.868944	107012.105104	108116.20954
2.64	94020.7718617	94523.6650551	95918.1015064	103449.015691	104446.312799	104511.549438	104831.244963	105774.535949	105937.423436	106511.569068	107032.753277	108133.90139
2.61	94069.5237613	94576.3828612	95975.8211393	103475.774038	104474.186077	104519.983848	104836.709882	105791.532065	105955.997573	106512.525977	107056.25901	108153.992098
2.58	94121.2210103	94634.1376101	96038.8959532	103507.499096	104507.576948	104531.038785	104844.5144	105812.950594	105978.581513	106514.191789	107083.280726	108177.122529
2.55	94176.0589414	94697.7830581	96108.0633828	103544.899767	104546.819011	104545.528501	104855.003092	105839.561893	106005.695409	106517.139334	107114.577808	108204.043287
2.52	94234.2087446	94768.3024514	96184.164016	103588.755188	104569.468793	104587.14528	104868.557845	105872.261418	106037.817716	106522.136771	107151.004013	108235.608129
2.49	94295.8591682	94846.8370583	96268.1679307	103639.925698	104590.406673	104642.408992	104885.60005	105912.069726	106075.314956	106530.255138	107193.529417	108272.789326
2.47	94338.9881277	94904.2757637	96329.0875037	103678.570791	104606.549032	104684.453747	104899.132856	105943.14075	106103.368203	106538.134277	107225.809746	108301.242017
2.44	94406.886994	94999.1151409	96428.744349	103744.06202	104634.395973	104756.221951	104923.077538	105997.522173	106149.835372	106555.211598	107281.027368	108350.342881
2.41	94478.8505304	95105.7622531	96539.5351422	103819.554709	104667.016487	104839.6684	104951.925283	106062.570064	106200.731539	106581.280794	107345.618751	108408.385142
2.38	94555.1860015	95225.9202235	96662.9830373	103906.163787	104704.900003	104936.360143	104986.365242	106139.967793	106254.252622	106620.531637	107421.120219	108476.935848
2.36	94608.722448	95314.4431207	96753.1585786	103970.656407	104733.357084	105006.341823	105015.533421	106199.355433	106290.16745	106656.639603	107478.361397	108529.348584
2.33	94693.3255284	95461.3528538	96901.6243868	104078.317492	104781.281564	105052.071557	105138.243881	106301.400162	106342.905009	106729.658813	107575.985907	108619.467062
2.3	94783.6437281	95627.0935102	97067.8171608	104199.956917	104836.106326	105105.928437	105279.418742	106396.952832	106417.895101	106828.973278	107689.612313	108725.319676
2.28	94847.3967186	95749.1960258	97189.6014383	104289.188717	104876.891297	105147.099682	105384.928976	106430.945062	106508.432775	106910.997531	107775.404946	108805.816386
2.25	94948.9717721	95951.6306456	97390.67751	104435.4093	104945.128154	105218.141425	105562.211803	106482.293347	106664.810644	107058.703957	107921.076842	108943.4182
2.22	95058.5817919	96179.6560071	97616.3742458	104595.897928	105022.918742	105302.557952	105764.894429	106539.576225	106847.130414	107237.106105	108089.69481	109103.880491
2.2	95136.6664757	96347.3675456	97782.055644	104709.829403	105080.80737	105367.867018	105915.680084	106583.664289	106984.679554	107373.939758	108216.410683	109225.135835
2.18	95219.1977156	96528.7677168	97961.0986577	104827.996739	105144.154333	105441.838747	106080.207046	106634.591182	107136.294823	107525.923744	108355.766099	109359.041696
2.15	95352.2147046	96828.8795207	98257.1435966	105009.293757	105251.071399	105571.952087	106357.436424	106724.915966	107394.702058	107783.973235	108590.972671	109585.954321
2.13	95447.6949476	97049.3044758	98474.5705283	105129.827029	105330.914075	105673.169397	106559.08313	106807.993698	107584.635402	107978.252178	108766.995713	109756.773621
2.11	95549.1997692	97287.4761495	98709.5795726	105248.115076	105418.798301	105785.937656	106781.033434	106904.77762	107795.159857	108191.046	108959.962198	109944.439793
2.09	95657.2515191	97544.7574793	98963.5665882	105363.846243	105514.756998	105908.597638	107020.462697	107026.226101	108025.674061	108423.952477	109171.296514	110150.565976
2.08	95713.9067001	97681.0139138	99098.1440418	105421.115953	105565.661944	105972.618387	107090.402678	107154.717523	108148.86956	108548.379229	109284.321558	110261.031946
2.07	95772.4120522	97822.6079714	99238.0349762	105478.370299	105618.47193	106037.784794	107168.15376	107288.665085	108277.639715	108678.378442	109402.530594	110376.719219
2.06	95832.8553653	97969.7371791	99383.458866	105535.945079	105673.121112	106103.574509	107254.36559	107428.268507	108412.199611	108814.141059	109526.132122	110497.845072
2.05	95895.3156502	98122.6056484	99534.617628	105594.202425	105729.591935	106169.53322	107349.668058	107573.749461	108552.762137	108955.877775	109655.34342	110624.626787
2.04	95959.8763074	98281.4350486	99691.7351261	105653.469354	105787.89537	106235.296598	107454.559373	107725.331809	108699.555549	109103.81026	109790.388355	110757.290422
2.03	96026.6185424	98446.4448544	99855.0330298	105714.05752	105848.079703	106300.621027	107569.434589	107883.248194	108852.812488	109258.164572	109931.501763	110896.073009
2.02	96095.6433135	98617.8655142	100024.752761	105776.256631	105910.245892	106365.401159	107694.565855	108047.74004	109012.772183	109419.190913	110078.922872	111041.215972
2.01	96167.0384107	98795.93845	100201.131353	105840.316886	105974.505869	106429.647967	107830.122166	108219.059742	109179.684834	109587.13729	110232.906273	111192.962926
2.0	96240.9069869	98980.9116682	100384.42998	105906.475318	106040.993513	106493.490942	107976.193506	108397.464084	109353.805032	109762.27146	110393.710944	111351.575046
1.99	96317.3434163	99173.0397593	100574.901037	105974.929455	106109.851484	106557.121027	108132.799628	108583.225216	109535.404925	109944.858989	110561.606842	111517.315702
1.98	96396.4596309	99372.5904824	100772.816674	106045.876824	106181.226828	106620.845486	108299.980038	108776.613092	109724.752272	110135.176415	110736.863918	111690.461433
1.97	96478.3675628	99579.8425702	100978.455624	106119.493004	106255.277568	106684.96061	108477.730346	108977.917417	109922.136781	110333.515638	110919.780659	111871.304138
