R	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2
100.0	92704.4595998	93207.8246637	94602.8888123	103006.976228	104368.704375	104373.091673	104460.701556	104928.204465	104960.95008	105895.806656	105948.067955	106155.732655
28.0	92704.4332628	93207.787353	94602.8822281	103006.971839	104368.708765	104373.104842	104460.694972	104928.204465	104960.95008	105895.81324	105948.067955	106155.732655
11.0	92704.5122737	93207.8729481	94602.9766022	103006.936723	104368.785581	104373.128984	104460.771788	104928.316398	104961.013728	105895.86372	105948.171108	106155.835808
9.6	92704.9468335	93208.3294553	94603.4770043	103007.162782	104369.597637	104373.431859	104461.537754	104929.231607	104961.612894	105896.372901	105949.077538	106156.661033
8.79	92705.815953	93209.2380803	94604.4887824	103007.91119	104371.482924	104374.131983	104463.344031	104931.259552	104963.015337	105897.50539	105951.173521	106158.528762
8.22	92707.174501	93210.6383284	94606.0251048	103009.368502	104374.07492	104375.942649	104466.278406	104934.536309	104965.398831	105899.351172	105954.570988	106161.586044
7.77	92709.0115036	93212.5718999	94608.1386455	103011.72127	104376.186266	104380.097303	104470.685457	104938.978475	104969.151847	105901.83343	105959.577205	106166.098442
7.31	92712.1192644	93215.8376824	94611.6963292	103016.167826	104378.723392	104388.417587	104478.463638	104945.911679	104976.554726	105905.865179	105968.283763	106174.197056
7.1	92714.1537942	93217.9709758	94614.0117866	103019.266808	104380.264104	104394.001021	104483.667381	104949.952207	104982.056955	105908.369384	105973.983519	106179.756348
6.83	92717.5666247	93221.5462175	94617.8811243	103024.657105	104382.730999	104403.348446	104492.492456	104955.908748	104992.247162	105912.350654	105983.370449	106189.479074
6.6	92721.4008465	93225.5516295	94622.200385	103030.863847	104385.360305	104413.644001	104502.469773	104961.654594	105004.686984	105916.542619	105993.464088	106200.926871
6.39	92725.8737395	93230.2132707	94627.2022118	103038.176742	104388.250786	104425.230066	104514.156797	104967.540903	105019.971198	105921.127444	106004.492688	106214.922768
6.2	92730.9414086	93235.4784671	94632.8207624	103046.442156	104391.323431	104437.683057	104527.450375	104973.580845	105037.779369	105926.017339	106015.9339	106231.517245
6.02	92736.8650289	93241.6105882	94639.3303799	103055.987108	104394.663835	104451.229031	104543.072579	104980.140942	105058.835765	105931.420804	106027.906241	106251.750611
5.86	92743.2649091	93248.2079956	94646.2723624	103066.078551	104398.008628	104464.603815	104560.046747	104986.872229	105081.566753	105936.969123	106039.275027	106274.391614
5.75	92748.4006155	93253.5148922	94651.8799392	103073.995001	104400.510639	104474.42311	104573.750743	104992.115478	105099.708526	105941.257657	106047.367057	106293.018426
5.58	92757.7546242	93263.1081282	94661.8967613	103087.93164	104404.715773	104490.363552	104598.764267	105001.458513	105132.300508	105948.785637	106060.129506	106327.568122
5.45	92766.2219554	93271.7773761	94670.9061949	103100.072977	104408.183472	104502.952617	104621.460138	105009.87756	105161.39187	105955.409382	106069.96197	106359.387554
5.33	92775.3169841	93281.0457898	94680.4577308	103112.488657	104411.558992	104514.712068	104645.426768	105018.922109	105191.782522	105962.320638	106079.021883	106393.447822
5.21	92785.7859239	93291.683725	94691.3480619	103126.074136	104415.07278	104526.462739	104672.380447	105029.533707	105225.831816	105970.147103	106088.020342	106432.435295
5.1	92796.7552659	93302.8023098	94702.6641739	103139.549879	104418.380263	104537.124817	104699.641391	105041.05832	105260.427602	105978.276443	106096.200162	106472.842769
5.0	92808.0252882	93314.1974326	94714.1953709	103152.692019	104421.419987	104546.650016	104726.401933	105053.544232	105294.762213	105986.623063	106103.605236	106513.704556
4.9	92820.6823901	93326.9642718	94727.0368315	103166.518921	104424.450931	104555.938182	104754.531996	105068.470701	105331.868789	105996.08242	106110.948857	106558.714413
4.81	92833.3877764	93339.7640323	94739.8300077	103179.535961	104427.124132	104564.038991	104780.57705	105084.667929	105367.555364	106005.752472	106117.53968	106602.918798
4.72	92847.4209843	93353.9069774	94753.8961368	103193.011704	104429.689791	104571.83473	104806.668194	105104.231898	105405.254521	106016.76132	106124.126114	106650.740125
4.64	92861.203991	93367.7514371	94767.5847694	103205.297894	104431.847226	104578.403605	104829.271886	105125.117103	105440.240972	106027.91502	106129.990476	106696.362317
4.55	92878.2593645	93384.8704582	94784.4162788	103219.412307	104434.070504	104585.453131	104853.326306	105153.361294	105480.938153	106042.433267	106136.671284	106751.305595
4.48	92892.7534691	93399.4106525	94798.6382348	103230.506749	104435.606827	104590.577863	104870.511169	105179.232963	105513.170197	106055.419581	106141.934285	106796.627107
4.4	92910.7372203	93417.4426881	94816.180842	103243.214331	104437.094865	104595.996692	104888.163514	105213.299815	105550.173619	106072.490318	106148.108107	106851.232395
4.33	92927.8013728	93434.5529302	94832.7467871	103254.273657	104438.117617	104600.307173	104901.694125	105247.107687	105582.212526	106089.712492	106153.763968	106901.4438
4.26	92946.1779835	93452.9800201	94850.5044794	103265.179352	104438.819935	104604.152369	104913.389928	105284.534696	105613.406455	106109.28085	106159.893894	106953.858732
